Douglas McGrath,"[u'Category:1958 births', u'Category:All stub articles', u'Category:American film director stubs', u'Category:American film directors', u'Category:American male film actors', u'Category:American male screenwriters', u'Category:American male writers', u'Category:American political writers', u'Category:Articles with hCards', u'Category:Film directors from Texas']"
Takashi Shimizu,"[u'Category:1972 births', u'Category:All stub articles', u'Category:Articles with hCards', u'Category:Horror film directors', u'Category:Japanese film biography stubs', u'Category:Japanese film directors', u'Category:Japanese horror fiction', u'Category:Living people', u'Category:Pages using ISBN magic links', u'Category:Pages using infobox person with unknown parameters']"
Joss Whedon,"[u'Category:1964 births', u'Category:All articles with dead external links', u'Category:American atheists', u'Category:American comics writers', u'Category:American feminists', u'Category:American film directors', u'Category:American horror writers', u'Category:American humanists', u'Category:American male novelists', u'Category:American male screenwriters']"
Paul Thomas Anderson,"[u'Category:1970 births', u'Category:American film directors', u'Category:American film producers', u'Category:American male screenwriters', u'Category:American music video directors', u'Category:Articles with hCards', u'Category:Emerson College alumni', u'Category:English-language film directors', u'Category:Film directors from California', u'Category:Film producers from California']"
Mel Smith,"[u'Category:1952 births', u'Category:2013 deaths', u'Category:20th-century English male actors', u'Category:20th-century English writers', u'Category:21st-century English male actors', u'Category:21st-century English writers', u'Category:All articles with dead external links', u'Category:Alumni of New College, Oxford', u'Category:Articles with dead external links from August 2013', u'Category:Businesspeople from London']"
Julia Leigh,"[u'Category:1970 births', u'Category:20th-century Australian novelists', u'Category:20th-century women writers', u'Category:21st-century Australian novelists', u'Category:21st-century women writers', u'Category:All Wikipedia articles written in Australian English', u'Category:All stub articles', u'Category:Australian film director stubs', u'Category:Australian film directors', u'Category:Australian screenwriters']"
Catherine Hardwicke,"[u'Category:1955 births', u'Category:American Presbyterians', u'Category:American film directors', u'Category:American production designers', u'Category:American screenwriters', u'Category:American women film directors', u'Category:American women screenwriters', u'Category:Articles with hCards', u'Category:Film directors from Texas', u'Category:Living people']"
Todd Solondz,"[u'Category:1959 births', u'Category:All articles with unsourced statements', u'Category:American atheists', u'Category:American film directors', u'Category:American male film actors', u'Category:American male screenwriters', u'Category:Articles with hCards', u'Category:Articles with unsourced statements from February 2007', u'Category:Articles with unsourced statements from June 2007', u'Category:Jewish American writers']"
Dominique Othenin-Girard,"[u'Category:1958 births', u'Category:All articles with unsourced statements', u'Category:Alumni of the London Film School', u'Category:Articles with hCards', u'Category:Articles with unsourced statements from September 2014', u'Category:French-language film directors', u'Category:Living people', u'Category:People from Le Locle', u'Category:Swiss-French people', u'Category:Swiss film directors']"
Jay Duplass,"[u'Category:1973 births', u'Category:21st-century American male actors', u'Category:All stub articles', u'Category:American film director, 1970s birth stubs', u'Category:American film directors', u'Category:American film producers', u'Category:American male screenwriters', u'Category:American male television actors', u'Category:Articles with hCards', u'Category:Cajun people']"
Chris Buck,"[u'Category:Animated film directors', u'Category:Animators from Kansas', u'Category:Annie Award winners', u'Category:Articles with hCards', u'Category:Artists from Wichita, Kansas', u'Category:California Institute of the Arts alumni', u'Category:California Institute of the Arts faculty', u'Category:Commons category with local link same as on Wikidata', u'Category:Directors of Best Animated Feature Academy Award winners', u'Category:Disney people']"
Jean-Marc Vallée,"[u'Category:1963 births', u'Category:Articles with hCards', u'Category:Best Director Genie and Canadian Screen Award winners', u'Category:Best Screenplay Genie and Canadian Screen Award winners', u'Category:CS1 French-language sources (fr)', u'Category:Canadian film editors', u'Category:Canadian film producers', u'Category:Canadian screenwriters', u'Category:Commons category with page title same as on Wikidata', u'Category:English-language film directors']"
Jimmy Hayward,"[u'Category:1970 births', u'Category:All stub articles', u'Category:Animator stubs', u'Category:Articles with hCards', u'Category:Canadian animators', u'Category:Canadian film directors', u'Category:Canadian screenwriters', u'Category:Living people', u'Category:Use mdy dates from January 2014', u'Category:Wikipedia articles with BNF identifiers']"
John G. Avildsen,"[u'Category:1935 births', u'Category:American film directors', u'Category:Articles with hCards', u'Category:Artists from Oak Park, Illinois', u'Category:Best Directing Academy Award winners', u'Category:Biography with signature', u'Category:Directors Guild of America Award winners', u'Category:Film directors from Illinois', u'Category:Hotchkiss School alumni', u'Category:Living people']"
Tony Kaye,"[u'Category:All article disambiguation pages', u'Category:All disambiguation pages', u'Category:Human name disambiguation pages']"
Gus Van Sant,"[u'Category:1952 births', u'Category:All articles with unsourced statements', u'Category:American film directors', u'Category:American people of Dutch descent', u'Category:Articles with hCards', u'Category:Articles with unsourced statements from October 2011', u'Category:Articles with unsourced statements from September 2015', u'Category:Artists from Oregon', u'Category:Catlin Gabel School alumni', u'Category:Censorship in the arts']"
Shari Springer Berman,"[u'Category:1964 births', u'Category:American film directors', u'Category:American screenwriters', u'Category:American women film directors', u'Category:American women screenwriters', u'Category:Articles with hCards', u'Category:Columbia University School of the Arts alumni', u'Category:Film directors from New York City', u'Category:Filmmaking duos', u'Category:Living people']"
Doug Liman,"[u'Category:1965 births', u'Category:American Jews', u'Category:Articles with Wayback Machine links', u'Category:Articles with hCards', u'Category:Brown University alumni', u'Category:Ethical Culture Fieldston School alumni', u'Category:Film directors from New York City', u'Category:Living people', u'Category:Pages using citations with accessdate and no URL', u'Category:USC School of Cinematic Arts alumni']"
Stephen Frears,"[u'Category:1941 births', u'Category:Alumni of Trinity College, Cambridge', u'Category:Articles with hCards', u'Category:BAFTA winners (people)', u'Category:British people of English descent', u'Category:CS1 French-language sources (fr)', u'Category:CS1 Russian-language sources (ru)', u'Category:Commandeurs of the Ordre des Arts et des Lettres', u'Category:Empire Inspiration Award winners', u'Category:English-language film directors']"
Jonathan Demme,"[u'Category:1944 births', u'Category:All articles with dead external links', u'Category:American film directors', u'Category:American film producers', u'Category:American male screenwriters', u'Category:Articles with dead external links from June 2016', u'Category:Articles with dead external links from September 2010', u'Category:Articles with hCards', u'Category:Best Directing Academy Award winners', u'Category:CS1 errors: dates']"
John Cameron Mitchell,"[u'Category:1963 births', u'Category:20th-century American male actors', u'Category:21st-century American male actors', u'Category:All articles with unsourced statements', u'Category:American Roman Catholics', u'Category:American film directors', u'Category:American male television actors', u'Category:American people of Scottish descent', u'Category:Articles with hCards', u'Category:Articles with unsourced statements from April 2015']"
Brett Leonard,"[u'Category:1959 births', u'Category:American music video directors', u'Category:Articles needing POV-check from December 2010', u'Category:Articles with hCards', u'Category:English-language film directors', u'Category:Film directors from Ohio', u'Category:German-language film directors', u'Category:Horror film directors', u'Category:Living people', u'Category:People from Toledo, Ohio']"
Lulu Jarmen,
Joe Pytka,"[u'Category:1938 births', u'Category:Advertising directors', u'Category:All articles with broken links to citations', u'Category:All articles with unsourced statements', u'Category:American documentary film directors', u'Category:American film directors', u'Category:American music video directors', u'Category:Articles with hCards', u'Category:Articles with unsourced statements from February 2014', u'Category:Articles with unsourced statements from January 2014']"
Rick Famuyiwa,"[u'Category:1973 births', u'Category:African-American film directors', u'Category:American film directors', u'Category:American male screenwriters', u'Category:American people of Nigerian descent', u'Category:American people of Yoruba descent', u'Category:Articles with hCards', u'Category:Living people', u'Category:People from Inglewood, California', u'Category:USC School of Cinematic Arts alumni']"
Dom DeLuise,"[u'Category:1933 births', u'Category:2009 deaths', u'Category:20th-century American male actors', u'Category:21st-century American male actors', u'Category:American Roman Catholics', u'Category:American cookbook writers', u'Category:American film directors', u'Category:American male comedians', u'Category:American male film actors', u'Category:American male television actors']"
Ava DuVernay,"[u'Category:1972 births', u'Category:African-American film directors', u'Category:African-American film producers', u'Category:African-American screenwriters', u'Category:African-American television directors', u'Category:African-American television producers', u'Category:All articles with dead external links', u'Category:All articles with unsourced statements', u'Category:American publicists', u'Category:American women film directors']"
Brett Ratner,"[u'Category:1969 births', u'Category:All articles with dead external links', u'Category:American book publishers (people)', u'Category:American film producers', u'Category:American magazine publishers (people)', u'Category:American music video directors', u'Category:American people of Cuban-Jewish descent', u'Category:Articles with dead external links from January 2017', u'Category:Articles with hCards', u'Category:Businesspeople from Miami']"
David Twohy,"[u'Category:1955 births', u'Category:All stub articles', u'Category:American film director, 1950s birth stubs', u'Category:American male screenwriters', u'Category:Articles with hCards', u'Category:California State University, Long Beach alumni', u'Category:Film directors from California', u'Category:Living people', u'Category:Use mdy dates from January 2015', u'Category:Wikipedia articles with BNF identifiers']"
 Lee Unkrich,"[u'Category:1967 births', u'Category:All stub articles', u'Category:American Jews', u'Category:American animators', u'Category:American film director stubs', u'Category:American film directors', u'Category:American film editors', u'Category:Animated film directors', u'Category:Annie Award winners', u'Category:Articles with hCards']"
Ben Palmer,"[u'Category:All articles lacking in-text citations', u'Category:All stub articles', u'Category:Articles lacking in-text citations from January 2013', u'Category:British television directors', u'Category:Living people', u'Category:Television director stubs', u'Category:Year of birth missing (living people)']"
Joe Wright,"[u'Category:1972 births', u'Category:Alumni of Central Saint Martins', u'Category:Articles with hCards', u'Category:BAFTA winners (people)', u'Category:CS1 errors: missing author or editor', u'Category:Casting directors', u'Category:Commons category with local link same as on Wikidata', u'Category:English-language film directors', u'Category:English film directors', u'Category:English television directors']"
Ritesh Batra,"[u'Category:1979 births', u'Category:All Wikipedia articles written in Indian English', u'Category:Filmfare Awards winners', u'Category:Hindi-language film directors', u'Category:Indian documentary filmmakers', u'Category:Indian film directors', u'Category:Living people', u'Category:People from Mumbai', u'Category:Tisch School of the Arts alumni', u'Category:Use Indian English from October 2016']"
Sturla Gunnarsson,"[u'Category:1951 births', u'Category:Articles with hCards', u'Category:Canadian documentary filmmakers', u'Category:Canadian film directors', u'Category:Canadian film producers', u'Category:Canadian television directors', u'Category:Directors of Genie Award winners for Best Documentary Film', u'Category:Film directors from Vancouver', u'Category:Gemini Award winners', u'Category:Icelandic emigrants to Canada']"
